CFC;V8.2;08.02.00.00_02.87.00.02;V8.2.0.0;
Automation License Manager;V6.0 + SP2;06.00.02.00_02.01.00.03;K6.0.2.0;
S7-PLCSIM  ;V5.4 + SP8;V05.04.08.00_08.03.00.01;K5.4.8.0;
SIMATIC ProSave;V15.1;V15.01.00.00_28.01.00.01;V15.01.00.00;
SIMATIC S7-Block Privacy;V1.0 + SP4;K1.0.4.0_9.1.0.1;K1.0.4.0;
S7-PCT;V3.5 + Upd1;K3.5.0.1_1.10.0.1;K3.5.0.1;
SIMOTION SCOUT CamTool;V4.1.0.1;V04.01.00.01_05.10.22.03;V4.1.0.1;
SIMOTION Simulation;V5.1.0.1;V05.01.00.01_05.10.22.03;V5.1.0.1;
STEP 7;V5.6 + SP1;K5.6.1.0_9.1.0.2;K5.6.1.0;
SIMOTION SCOUT;V5.1.0.1;V05.01.00.01_05.10.22.03;V5.1.0.1;
SIMATIC S7-Web2PLC;V1.0 + SP3;K1.0.3.0_8.1.0.1;K1.0.3.0;
